Parameter,Value
G,6.674e-11
TimeStep,3600.0
TotalSimTime_Predefined,5184000.0
Integrator,rk4
CollisionModel,ignore
SimulationMode,pre_defined

Earth_ID,0
Earth_Mass,5.972e+24
Earth_InitialPosX,-4672203.365158763
Earth_InitialPosY,0.0
Earth_InitialPosZ,0.0
Earth_InitialVelX,0.0
Earth_InitialVelY,12.45246027415669
Earth_InitialVelZ,0.0
Earth_Radius,6372255.736961294
Earth_Color,#1E90FF
Moon_ID,1
Moon_Mass,7.348e+22
Moon_InitialPosX,379727796.63484126
Moon_InitialPosY,0.0
Moon_InitialPosZ,0.0
Moon_InitialVelX,0.0
Moon_InitialVelY,-1012.0589651233502
Moon_InitialVelZ,0.0
Moon_Radius,1471102.656837848
Moon_Color,#D3D3D3

Time,Earth_Px,Earth_Py,Earth_Pz,Earth_Vx,Earth_Vy,Earth_Vz,Moon_Px,Moon_Py,Moon_Pz,Moon_Vx,Moon_Vy,Moon_Vz
378000.0,-2491496.2723091473,3960518.7908181725,0.0,10.555381614185336,6.699758888302906,0.0,202778689.69746906,-321060194.01738477,0.0,-855.6750035291936,-540.5065035182453,0.0
381600.0,-2453382.074947184,3984456.097781849,0.0,10.619170510765414,6.598743725963345,0.0,199688973.7196935,-322991210.80987436,0.0,-860.8208655596276,-532.2724752170778,0.0
385200.0,-2415039.98769802,4008028.6571723777,0.0,10.681987094991607,6.497121366708839,0.0,196580875.1552752,-324892496.7137698,0.0,-865.8874742935637,-523.989468433133,0.0
388800.0,-2376473.521291478,4031234.299933775,0.0,10.743825586299803,6.394901173384935,0.0,193454680.15747997,-326763876.7788626,0.0,-870.8743634941627,-515.6582463087101,0.0
392400.0,-2337686.2071050177,4054070.8908154494,0.0,10.804680294345497,6.292092563918279,0.0,190310676.54480284,-328605178.8102734,0.0,-875.7810742779546,-507.27957642831575,0.0
396000.0,-2298681.5968379984,4076536.3285689293,0.0,10.86454561952994,6.18870501044624,0.0,187149153.7744194,-330416233.3843165,0.0,-880.6071551572678,-498.8542307477246,0.0
399600.0,-2259463.2621840634,4098628.5461414442,0.0,10.923416053517863,6.084748038441477,0.0,183970402.91548553,-332196873.864108,0.0,-885.3521620819722,-490.382985522633,0.0
403200.0,-2220034.7945016734,4120345.510866347,0.0,10.981286179746748,5.980231225831536,0.0,180774716.62228814,-333946936.41491663,0.0,-890.0156584805327,-481.86662123691167,0.0
406800.0,-2180399.8044828246,4141685.2246503574,0.0,11.038150673927573,5.875164202113562,0.0,177562389.1072494,-335666260.0192551,0.0,-894.5972153003684,-473.30592253046416,0.0
410400.0,-2140561.9218199765,4162645.7241576132,0.0,11.094004304537012,5.769556647464191,0.0,174333716.11378694,-337354686.49171185,0.0,-899.0964110475148,-464.701678126698,0.0
414000.0,-2100524.794871227,4183225.0809905026,0.0,11.148841933301014,5.6634182918447316,0.0,171088994.8890324,-339012060.4935202,0.0,-903.5128318255846,-456.0546807596152,0.0
417600.0,-2060292.0903237571,4203421.401867271,0.0,11.202658515669736,5.556758914101695,0.0,167828524.15641117,-340638229.5468648,0.0,-907.8460713740228,-447.3657271005287,0.0
421200.0,-2019867.4928555882,4223232.828796383,0.0,11.255449101283777,5.449588341062778,0.0,164552604.0880856,-342233044.04892355,0.0,-912.0957311056542,-438.63561768441207,0.0
424800.0,-1979254.70479567,4242657.539247614,0.0,11.307208834431666,5.341916446628368,0.0,161261536.2772642,-343796357.2856435,0.0,-916.2614201435174,-429.8651568358889,0.0
428400.0,-1938457.4457823413,4261693.746319875,0.0,11.357932954498574,5.233753150858661,0.0,157955623.71037984,-345328025.44525003,0.0,-920.3427553569845,-421.0551525948694,0.0
432000.0,-1897479.452420191,4280339.698905732,0.0,11.407616796406186,5.125108419056479,0.0,154635170.73913884,-346827907.63148737,0.0,-924.3393613971606,-412.20641664184024,0.0
435600.0,-1856324.477935349,4298593.681852622,0.0,11.45625579104371,5.015992260845878,0.0,151300483.05244416,-348295865.8765897,0.0,-928.2508707315609,-403.31976422281554,0.0
439200.0,-1814996.2918292459,4316454.016120748,0.0,11.50384546568997,4.906414729246612,0.0,147951867.64819503,-349731765.15398157,0.0,-932.0769236780624,-394.3960140739556,0.0
442800.0,-1773498.6795308637,4333919.058937622,0.0,11.550381444426561,4.79638591974457,0.0,144589632.8049656,-351135473.39070606,0.0,-935.8171684381264,-385.43598834586044,0.0
446400.0,-1731835.4420475208,4350987.203949272,0.0,11.595859448541994,4.685915969358247,0.0,141214088.05356526,-352506861.47958016,0.0,-939.4712611292888,-376.4405125275453,0.0
